locality,price,et_type,size,company_name
Jižní Předměstí,4661000,3+kk,67,ERA Estate A. Legal
Východní Předměstí,2696000,2+kk,32,
Božkov,5311000,3+1,47,Bidli
Skvrňany,3638000,2+kk,47,"Trigema, a.s."
Skvrňany,5505000,3+kk,70,"Trigema, a.s."
Skvrňany,6247000,4+kk,87,"Trigema, a.s."
Skvrňany,4242000,2+kk,58,"Trigema, a.s."
Jižní Předměstí,5540000,3+kk,202,
Jižní Předměstí,2949000,1+kk,56,
Jižní Předměstí,2533000,1+kk,23,T2 REALITY
Východní Předměstí,3022000,2+1,53,
Východní Předměstí,2900000,2+1,43,
Východní Předměstí,0,1+kk,23,
Lobzy,3309000,3+1,63,
Jižní Předměstí,4780000,3+kk,69,
Východní Předměstí,2696000,1+1,32,
Jižní Předměstí,5090000,3+kk,132,
Jižní Předměstí,1356000,2+kk,37,
Bolevec,4085000,3+1,55,
Východní Předměstí,3432000,3+1,57,
Jižní Předměstí,3676000,3+1,59,MAXIMA REALITY
Jižní Předměstí,2621000,1+kk,32,ERA Estate A. Legal
Východní Předměstí,2696000,2+kk,32,
Božkov,5311000,3+1,47,Bidli
Skvrňany,3638000,2+kk,47,"Trigema, a.s."
Skvrňany,5505000,3+kk,70,"Trigema, a.s."
Skvrňany,6247000,4+kk,87,"Trigema, a.s."
Skvrňany,4242000,2+kk,58,"Trigema, a.s."
Jižní Předměstí,5540000,3+kk,202,
Jižní Předměstí,2949000,1+kk,56,
Jižní Předměstí,2533000,1+kk,23,T2 REALITY
Východní Předměstí,3022000,2+1,53,
Východní Předměstí,2900000,2+1,43,
Východní Předměstí,0,1+kk,23,
Lobzy,3309000,3+1,63,
Jižní Předměstí,4780000,3+kk,69,
Východní Předměstí,2696000,1+1,32,
Jižní Předměstí,5090000,3+kk,132,
Jižní Předměstí,1356000,2+kk,37,
Bolevec,4085000,3+1,55,
Východní Předměstí,3432000,3+1,57,
Jižní Předměstí,3676000,3+1,59,MAXIMA REALITY
Jižní Předměstí,7242000,3+kk,100,ERA Estate A. Legal
Lobzy,2851000,2+1,43,
Jižní Předměstí,2745000,2+1,56,
Severní Předměstí,4060000,2+kk,53,
Božkov,5311000,2+1,51,Bidli
Východní Předměstí,2443000,2+kk,35,
Jižní Předměstí,4371000,2+kk,80,
Skvrňany,4344000,2+kk,53,"Trigema, a.s."
Skvrňany,3671000,1+kk,47,"Trigema, a.s."
Skvrňany,2369000,1+1,32,
Bolevec,3881000,4+1,74,
Doubravka,3505000,3+1,64,
Doubravka,3669000,3+kk,58,
Severní Předměstí,6068000,3+kk,165,
Lobzy,2598000,2+1,42,Idea Reality
Jižní Předměstí,6097000,3+kk,81,
Východní Předměstí,3914000,4+1,78,
Skvrňany,2360000,1+1,32,
Jižní Předměstí,7242000,3+kk,100,
Jižní Předměstí,2621000,1+kk,32,
Jižní Předměstí,4661000,3+kk,67,
Jižní Předměstí,2621000,1+kk,32,ERA Estate A. Legal
Skvrňany,1789000,1+1,35,
Skvrňany,2860000,3+1,53,
Černice,3268000,2+kk,38,
Lobzy,2525000,2+1,45,
Jižní Předměstí,3260000,2+1,62,
Jižní Předměstí,2933000,3+1,54,
Lobzy,3591000,4+1,67,"BYTY Západ, s.r.o."
Východní Předměstí,2770000,2+1,47,
Východní Předměstí,3391000,2+1,57,
Doubravka,2614000,1+1,34,
Jižní Předměstí,3587000,2+kk,40,Bidli
Bolevec,2895000,2+kk,49,
Bolevec,2696000,2+1,55,
Bolevec,2980000,1+kk,51,
Jižní Předměstí,4739000,4+1,80,
Jižní Předměstí,2614000,2+kk,40,
Starý Plzenec,2892000,2+1,47,
Skvrňany,2606000,2+kk,38,
Bolevec,2854000,2+kk,49,
Bolevec,2939000,1+kk,51,
Jižní Předměstí,2621000,1+kk,32,ERA Estate A. Legal
Křimice,3182000,2+kk,42,
Křimice,3182000,2+kk,42,
Bolevec,3750000,3+1,51,"BYTY Západ, s.r.o."
Jižní Předměstí,3423000,3+kk,57,
Jižní Předměstí,2447000,2+kk,60,
Bolevec,4731000,2+kk,66,
Východní Předměstí,4077000,3+kk,59,
Jižní Předměstí,2116000,1+1,27,
Bolevec,3023000,2+1,44,
Doubravka,2966000,2+1,55,
Doubravka,2966000,2+1,55,
Severní Předměstí,3677000,3+1,78,Trendy Reality s.r.o.
Křimice,2859000,2+kk,35,
Severní Předměstí,3750000,3+1,63,
Doubravka,3839000,2+1,55,
Jižní Předměstí,2614000,2+1,45,
Skvrňany,2369000,2+1,47,
Východní Předměstí,4077000,4+1,62,
Jižní Předměstí,3146000,2+1,77,
Bolevec,2860000,2+1,47,
Jižní Předměstí,2621000,1+kk,32,ERA Estate A. Legal
Nová Hospoda,2737000,2+kk,36,
Východní Předměstí,2696000,2+1,46,
Východní Předměstí,5058000,3+kk,58,
Jižní Předměstí,0,4+1,115,
Jižní Předměstí,2933000,2+kk,43,"OTTE Reality, s.r.o."
Skvrňany,4472000,3+kk,59,"Trigema, a.s."
Skvrňany,3666000,2+kk,49,"Trigema, a.s."
Radobyčice,5638000,3+kk,65,
Jižní Předměstí,2917000,4+1,111,
Východní Předměstí,3252000,3+1,65,Tode realitní kancelář
